NAME	ISO
BELARUSIAN	bel
BOSNIAN	bos
BULGARIAN	bul
CROATIAN	hrv
CZECH	ces
KASHUBIAN	csb
LOWER_SORBIAN	dsb
MACEDONIAN	mkd
NINILCHIK_RUSSIAN	rus
POLISH	pol
SERBOCROATIAN	srp
SLOVAK	slk
SLOVENIAN	slv
UKRAINIAN	ukr
UPPER_SORBIAN	hsb
