DOCULECT	LAT	LON	CLS
HARAMOSH_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
HARBAN_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
HARYANVI	29.0500	76.0800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,WesternHindi,Unclassified
HINDI	25.0000	77.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,WesternHindi,Hindustani
HUNGARIAN_VEND_ROMANI	46.4300	18.2200	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
HUNZA_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
INDUS_KOHISTANI	35.6200	72.3500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Kohistani
JALKOT_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
JAMMUN	34.3300	73.2000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
JAUNSARI	31.2500	77.0300	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
JELIL_CHILAS_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KACHURA_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KAGHAN_GUJARI	34.5000	73.3400	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
KALAMI	35.5000	72.5000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Kohistani
KALKOTI	35.5000	72.5000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KASHMIRI	34.0000	76.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Kashmiri
KESU_KHOWAR	35.6300	71.8000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
KHARMANG_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KHINAR_CHILAS_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KOHAT_CITY_HINDKO	33.5900	71.4400	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
KOHISTANI_INDUS	35.6200	72.3500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Kohistani
KOLAI_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
KONKANI	15.2500	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Southernzone,Konkani
KOSOVO_ARLI_ROMANI	42.5300	20.8500	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
KRAKAL_KALASHA	35.6800	71.6500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
KUMAUNI	30.0000	80.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,CentralPahari
