ISO	NAME	LAT	LON	ETHNOLOGUE	GLOTTOLOG
tsv	TSOGO	-1.50	11.33	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,B,Tsogo(B.31)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,B10-B30,Okani(B.30),SouthernOkani
tso	TSONGA	-24.00	32.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,S,Tswa-Ronga(S.52)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu-Makua,Nguni-Tsonga,Tswa-Ronga(S.50)
tsn	TSWANA_2	-24.00	26.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,S,Sotho-Tswana(S.31)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu-Makua,Sotho-Makua-Venda,Sotho-Makua,Sotho-Tswana(S.30),Tswanaic
tum	TUMBUKA_MALAWI	-11.00	33.67	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,N,Tumbuka(N.21)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Bwile-Bemba,Sabi,Tumbuka-Senga,Tumbukic
umb	UMBUNDU	-12.50	15.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,R,SouthMbundu(R.11)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Herero-Nkumbi-Wambo,SouthMbundu(R.10)
lag	VALANGI	-4.50	36.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,F,Nyilamba-Langi(F.33)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Mbugwe-Langi
ven	VENDA_2	-22.00	30.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,S,Venda(S.21)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu-Makua,Sotho-Makua-Venda
vin	VINZA_2	-5.00	30.75	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,J,Rwanda-Rundi(D.67)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,GreatLakesBantu,WesternLakesBantu,Kivu,WestHighlandsKivu
job	VIRA	-3.50	29.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,J,Shi-Havu(D.631)	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,GreatLakesBantu,WesternLakesBantu,Kivu,ForestKivu
vut	VUTE_MBANJO	5.17	12.17	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Northern,Mambiloid,Suga-Vute,Vute	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,NorthernBantoid,Mambiloid,Nizaa-Mambila-Vute,Konja-Mambila-Vute,Mambila-Vute,Vutic,Vute-Wawa
